player_id,player_name,club_id,start_date,end_date,manager_id,manager_name,start_value,peak_value,end_value
194460,Joe Bryan,931,2018-08-11,2018-11-11,60,Slavisa Jokanovic,5000000,6000000,6000000
194460,Joe Bryan,931,2018-11-24,2019-02-27,12,Claudio Ranieri,6000000,6000000,6000000
194460,Joe Bryan,931,2019-03-03,2021-05-23,57,Scott Parker,6000000,7000000,5000000
194460,Joe Bryan,931,2022-01-08,2022-08-23,31,Marco Silva,4000000,3000000,3000000
25834,Joe Lewis,931,2016-01-09,2016-01-09,60,Slavisa Jokanovic,400000,,400000
453824,Josh Maja,931,2021-02-06,2021-05-23,57,Scott Parker,6500000,6000000,6000000
243589,Josh Onomah,931,2020-01-04,2021-05-23,57,Scott Parker,3000000,6000000,6000000
243589,Josh Onomah,931,2022-01-08,2022-11-13,31,Marco Silva,5000000,3500000,2500000
1011131,Joshua King,931,2024-02-03,2024-02-10,31,Marco Silva,,,
207924,Jozabed Sánchez,931,2017-01-08,2017-01-08,60,Slavisa Jokanovic,5000000,,5000000
257455,João Palhinha,931,2022-08-06,2024-03-16,31,Marco Silva,25000000,60000000,55000000
206746,Kenny Tete,931,2020-09-19,2021-05-23,57,Scott Parker,5500000,5500000,5000000
206746,Kenny Tete,931,2022-01-08,2024-03-16,31,Marco Silva,5000000,15000000,15000000
183321,Kevin Mbabu,931,2022-08-06,2022-11-13,31,Marco Silva,9000000,7000000,7000000
36529,Kevin McDonald,931,2017-01-08,2018-11-11,60,Slavisa Jokanovic,1750000,4000000,4000000
36529,Kevin McDonald,931,2018-11-24,2019-02-27,12,Claudio Ranieri,4000000,4000000,4000000
36529,Kevin McDonald,931,2019-03-03,2020-01-26,57,Scott Parker,4000000,3000000,3000000
539810,Kristian Sekularac,931,2022-08-23,2024-02-03,31,Marco Silva,100000,200000,200000
148376,Lasse Vigen,931,2016-01-09,2016-01-09,60,Slavisa Jokanovic,3000000,,3000000
126710,Layvin Kurzawa,931,2022-10-01,2023-02-24,31,Marco Silva,5000000,5000000,5000000
144303,Lazar Markovic,931,2019-02-22,2019-02-27,12,Claudio Ranieri,5000000,,5000000
921995,Luc De Fougerolles,931,2024-02-03,2024-02-10,31,Marco Silva,250000,,250000
315762,Luca de la Torre,931,2018-01-06,2018-11-11,60,Slavisa Jokanovic,,500000,500000
315762,Luca de la Torre,931,2018-11-24,2019-02-27,12,Claudio Ranieri,500000,500000,500000
315762,Luca de la Torre,931,2019-03-03,2020-01-26,57,Scott Parker,500000,500000,500000
176485,Lucas Piazón,931,2017-01-08,2018-01-06,60,Slavisa Jokanovic,2500000,2500000,2500000
610789,Luciano D'Auria-Henry,931,2022-08-23,2022-08-23,31,Marco Silva,,,
214316,Luciano Vietto,931,2018-08-11,2018-11-11,60,Slavisa Jokanovic,6000000,,6000000
214316,Luciano Vietto,931,2018-11-24,2019-02-27,12,Claudio Ranieri,6000000,6000000,6000000
214316,Luciano Vietto,931,2019-03-03,2019-03-30,57,Scott Parker,6000000,,6000000
110860,Luke Garbutt,931,2016-01-09,2016-01-09,60,Slavisa Jokanovic,2000000,,2000000
817612,Luke Harris,931,2022-08-06,2023-05-20,31,Marco Silva,,500000,500000
256436,Magnus Norman,931,2018-01-06,2018-01-06,60,Slavisa Jokanovic,,,
396638,Manor Solomon,931,2022-08-06,2023-05-28,31,Marco Silva,18000000,18000000,18000000
142022,Marcelo Djaló,931,2018-01-06,2018-01-06,60,Slavisa Jokanovic,500000,,500000
116648,Marcus Bettinelli,931,2016-01-09,2018-11-11,60,Slavisa Jokanovic,1500000,4000000,4000000
116648,Marcus Bettinelli,931,2018-11-24,2019-02-27,12,Claudio Ranieri,4000000,4000000,4000000
116648,Marcus Bettinelli,931,2019-03-03,2020-01-26,57,Scott Parker,4000000,4000000,3500000
186901,Marek Rodak,931,2020-01-04,2021-05-23,57,Scott Parker,1500000,6000000,6000000
186901,Marek Rodak,931,2022-01-08,2023-05-28,31,Marco Silva,5000000,5000000,3500000
186901,Marek Rodák,931,2024-01-24,2024-03-16,31,Marco Silva,3000000,,3000000
170934,Mario Lemina,931,2020-09-19,2021-05-23,57,Scott Parker,10000000,10000000,10000000
408562,Marlon Fossey,931,2022-08-23,2022-08-23,31,Marco Silva,250000,,250000
992686,Martial Godo,931,2022-08-23,2022-10-09,31,Marco Silva,,,
817611,Matt Dibley-Dias,931,2023-05-08,2023-05-28,31,Marco Silva,,,
406634,Matt O'Riley,931,2020-01-04,2020-01-04,57,Scott Parker,250000,,250000
69786,Matt Smith,931,2016-01-09,2017-01-08,60,Slavisa Jokanovic,,,
60558,Maxime Le Marchand,931,2018-08-11,2018-11-11,60,Slavisa Jokanovic,4000000,5000000,5000000
60558,Maxime Le Marchand,931,2018-11-24,2019-02-27,12,Claudio Ranieri,5000000,5000000,5000000
60558,Maxime Le Marchand,931,2019-03-03,2020-10-24,57,Scott Parker,5000000,5000000,1600000
157490,Michael Hector,931,2020-01-04,2021-05-23,57,Scott Parker,3000000,6000000,4000000
157490,Michael Hector,931,2022-01-08,2022-02-05,31,Marco Silva,2500000,,2500000
20381,Michael Madl,931,2017-01-29,2017-02-19,60,Slavisa Jokanovic,,,
229004,Moussa Dembélé,931,2016-01-09,2016-01-09,60,Slavisa Jokanovic,750000,,750000
128900,Nathaniel Chalobah,931,2022-01-08,2023-01-23,31,Marco Silva,5000000,4000000,2500000
503680,Neco Williams,931,2022-02-05,2022-02-05,31,Marco Silva,8000000,,8000000
111422,Neeskens Kebano,931,2017-02-19,2018-11-11,60,Slavisa Jokanovic,4500000,4000000,3000000
111422,Neeskens Kebano,931,2018-11-24,2019-02-27,12,Claudio Ranieri,3000000,3000000,3000000
111422,Neeskens Kebano,931,2019-03-03,2021-05-23,57,Scott Parker,3000000,3000000,1200000
111422,Neeskens Kebano,931,2022-01-08,2023-05-28,31,Marco Silva,1500000,4000000,3000000
236490,Ola Aina,931,2020-10-04,2021-05-23,57,Scott Parker,7000000,7000000,7000000
73547,Oliver Norwood,931,2018-01-06,2018-01-06,60,Slavisa Jokanovic,2500000,,2500000
610786,Ollie O'Neill,931,2022-08-23,2022-08-23,31,Marco Silva,,,
